"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 11:46:52 GMT 2023","Mon Dec 18 11:46:55 GMT 2023","3577","","MyView app test: As a user, I can log into the myView app","","","","When I login with CGMAN and 1234",""
"passed","Mon Dec 18 11:46:33 GMT 2023","Mon Dec 18 11:46:52 GMT 2023","18989","","MyView app test: As a user, I can log into the myView app","","","","Given I am in the login view",""
"passed","Mon Dec 18 11:46:55 GMT 2023","Mon Dec 18 11:47:08 GMT 2023","12472","","MyView app test: As a user, I can log into the myView app","","","","Then I should see the message saying Welcome CG",""
"passed","Mon Dec 18 11:47:08 GMT 2023","Mon Dec 18 11:47:08 GMT 2023","0","","MyView app test: As a user, I can log into the myView app","","","","",""
